
FtBdd Version 1.0 (2016.6.16)
Fault Tree Solver using BDD Algorithm
Copyright(C) 2009 KAERI, all rights reserved
Developed by Korea Atomic Energy Research Institute
	Tue Feb 19 06:25:52 2019


 solve gates
 gate : G069, v(1.120000e-003), n(1)
 gate : G097, v(1.710208e-002), n(2)
 gate : G067, v(1.120000e-003), n(1)
 gate : G096, v(1.710208e-002), n(2)
 gate : G068, v(1.120000e-003), n(1)
 gate : G095, v(1.710208e-002), n(2)
 gate : G111A, v(2.415803e-005), n(8)
 gate : G066, v(1.120000e-003), n(1)
 gate : G094, v(1.710208e-002), n(2)
 gate : G111B, v(2.415803e-005), n(8)
 gate : G111C, v(2.415803e-005), n(8)
 gate : G111D, v(2.415803e-005), n(8)
 gate : G111, v(8.882600e-005), n(32)
 gate : G101, v(1.710208e-002), n(2)
 gate : G100, v(1.710208e-002), n(2)
 gate : G099, v(1.710208e-002), n(2)
 gate : G112A, v(2.415803e-005), n(8)
 gate : G098, v(1.710208e-002), n(2)
 gate : G112B, v(2.415803e-005), n(8)
 gate : G112C, v(2.415803e-005), n(8)
 gate : G112D, v(2.415803e-005), n(8)
 gate : G112, v(8.882600e-005), n(32)
 gate : G091, v(1.480466e-002), n(3)
 gate : G093, v(1.480466e-002), n(3)
 gate : G114, v(3.399841e-004), n(5)
 gate : G118, v(8.598073e-004), n(8)
 gate : G124, v(1.980711e-002), n(9)
 gate : G122, v(1.980711e-002), n(7)
 gate : G125A, v(1.218189e-003), n(23)
 gate : G090, v(1.480466e-002), n(3)
 gate : G092, v(1.480466e-002), n(3)
 gate : G113, v(3.399841e-004), n(5)
 gate : G117, v(8.598073e-004), n(8)
 gate : G123, v(1.980711e-002), n(9)
 gate : G125B, v(5.147948e-004), n(57)
 gate : G121, v(1.980711e-002), n(7)
 gate : G125C, v(5.147948e-004), n(43)
 gate : G125D, v(5.147948e-004), n(43)
 gate : G125E, v(5.147948e-004), n(33)
 gate : G125F, v(1.218189e-003), n(23)
 gate : G125, v(4.152769e-003), n(106)
 gate : G126, v(4.261058e-003), n(5891)
 gate : G065, v(5.100000e-004), n(1)
 gate : G073, v(1.650184e-002), n(2)
 gate : G064, v(5.100000e-004), n(1)
 gate : G072, v(1.650184e-002), n(2)
 gate : G063, v(5.100000e-004), n(1)
 gate : G071, v(1.650184e-002), n(2)
 gate : G106A, v(6.954112e-006), n(8)
 gate : G062, v(5.100000e-004), n(1)
 gate : G070, v(1.650184e-002), n(2)
 gate : G106B, v(6.954112e-006), n(8)
 gate : G106C, v(6.954112e-006), n(8)
 gate : G106D, v(6.954112e-006), n(8)
 gate : G106, v(2.704619e-005), n(32)
 gate : G077, v(2.229888e-002), n(3)
 gate : G076, v(2.229888e-002), n(3)
 gate : G075, v(2.229888e-002), n(3)
 gate : G107A, v(1.394083e-005), n(9)
 gate : G074, v(2.229888e-002), n(3)
 gate : G107B, v(1.394083e-005), n(9)
 gate : G107C, v(1.394083e-005), n(9)
 gate : G107D, v(1.394083e-005), n(9)
 gate : G107, v(5.430019e-005), n(36)
 gate : G081, v(1.550235e-002), n(3)
 gate : G080, v(1.550235e-002), n(3)
 gate : G079, v(1.550235e-002), n(3)
