Component	Acceleration	5%_PF	50%_PF	95%_PF	Mean_PF
00000_SLOOP	1.500E-01	1.69224E-06	8.14485E-04	4.89270E-02	9.86861E-03
00000_SLOOP	3.000E-01	6.74153E-02	5.00000E-01	9.32585E-01	5.00000E-01
00000_SLOOP	5.000E-01	7.95772E-01	9.89882E-01	9.99933E-01	9.57110E-01
00000_SLOOP	7.000E-01	9.90764E-01	9.99941E-01	1.00000E+00	9.97812E-01
00000_SLOOP	9.000E-01	9.99766E-01	1.00000E+00	1.00000E+00	9.99890E-01
00001_SDGSF	1.500E-01	4.04419E-11	1.20422E-08	1.57658E-06	5.55683E-07
00001_SDGSF	3.000E-01	4.09264E-06	1.99234E-04	4.37188E-03	9.96823E-04
00001_SDGSF	5.000E-01	1.54896E-03	2.07416E-02	1.31467E-01	3.75673E-02
00001_SDGSF	7.000E-01	2.45210E-02	1.47079E-01	4.48338E-01	1.79897E-01
00001_SDGSF	9.000E-01	1.09523E-01	3.78325E-01	7.28837E-01	3.93384E-01
00002_SSWRC	1.500E-01	9.62403E-11	1.16556E-06	1.04367E-03	4.20070E-04
00002_SSWRC	3.000E-01	3.48862E-05	9.84490E-03	2.45930E-01	4.95616E-02
00002_SSWRC	5.000E-01	1.33597E-02	2.84088E-01	8.58614E-01	3.43263E-01
00002_SSWRC	7.000E-01	1.45634E-01	7.22240E-01	9.87270E-01	6.61605E-01
00002_SSWRC	9.000E-01	4.25147E-01	9.27319E-01	9.99036E-01	8.48407E-01
00003_SSWSF	1.500E-01	1.22327E-12	4.12727E-08	1.00952E-04	7.49802E-05
00003_SSWSF	3.000E-01	4.65042E-07	5.55044E-04	5.30282E-02	1.05582E-02
00003_SSWSF	5.000E-01	3.92648E-04	4.33496E-02	4.72806E-01	1.12885E-01
00003_SSWSF	7.000E-01	9.68551E-03	2.44011E-01	8.29298E-01	3.11943E-01
00003_SSWSF	9.000E-01	5.74261E-02	5.27147E-01	9.56639E-01	5.19203E-01
00004_SLCRC	1.500E-01	4.33687E-12	1.09701E-07	2.02162E-04	1.24009E-04
00004_SLCRC	3.000E-01	3.14407E-06	2.04194E-03	1.09957E-01	2.11512E-02
00004_SLCRC	5.000E-01	2.44867E-03	1.21231E-01	6.82962E-01	2.04259E-01
00004_SLCRC	7.000E-01	4.53100E-02	4.81144E-01	9.44931E-01	4.86664E-01
00004_SLCRC	9.000E-01	1.96436E-01	7.85362E-01	9.92560E-01	7.11892E-01
