Component	AccRange	5%_PF	50%_PF	95%_PF	Mean_PF
00000_SLOOP	080100	9.99766E-01	1.00000E+00	1.00000E+00	9.99890E-01
00001_SDGSF	080100	1.09523E-01	3.78325E-01	7.28837E-01	3.93384E-01
00002_SSWRC	080100	4.25147E-01	9.27319E-01	9.99036E-01	8.48407E-01
00003_SSWSF	080100	5.74261E-02	5.27147E-01	9.56639E-01	5.19203E-01
00004_SLCRC	080100	1.96436E-01	7.85362E-01	9.92560E-01	7.11892E-01
00005_SLCSF	080100	1.67468E-02	3.15165E-01	8.77705E-01	3.66814E-01
00006_SMCSF	080100	9.42420E-04	7.17407E-02	5.72171E-01	1.50460E-01
00007_SBCSF	080100	6.56401E-04	8.10332E-02	6.61608E-01	1.73894E-01
00008_SDCSF	080100	3.57136E-03	1.90758E-01	8.26367E-01	2.78384E-01
00009_SIRSF	080100	1.35348E-03	8.03505E-02	5.76817E-01	1.57072E-01
00010_SINSF	080100	3.22816E-04	5.51694E-02	5.86417E-01	1.41816E-01
00011_SICPB	080100	4.07564E-04	4.43072E-02	4.76915E-01	1.14289E-01
00012_SITSF	080100	1.65358E-02	2.97345E-01	8.57040E-01	3.51424E-01
00013_PCSSF	080100	5.89542E-02	5.13108E-01	9.48379E-01	5.09407E-01
00014_SDGSF_A	080100	1.09523E-01	3.78325E-01	7.28837E-01	3.93384E-01
00015_SDGSF_B	080100	1.09523E-01	3.78325E-01	7.28837E-01	3.93384E-01
00016_E-MC04A	080100	9.42420E-04	7.17407E-02	5.72171E-01	1.50460E-01
00017_E-MC04B	080100	9.42420E-04	7.17407E-02	5.72171E-01	1.50460E-01
00018_E-IN01C	080100	3.22816E-04	5.51694E-02	5.86417E-01	1.41816E-01
00019_E-IN01D	080100	3.22816E-04	5.51694E-02	5.86417E-01	1.41816E-01
