      Acc.(g)          P05          P50          P95        PMEAN
   1.0000E-01   1.0000E+00   1.0000E+00   1.0000E+00   1.0000E+00
   1.1000E-01   1.0000E+00   1.0000E+00   1.0000E+00   1.0000E+00
   1.2000E-01   9.9999E-01   1.0000E+00   1.0000E+00   9.9999E-01
   1.3000E-01   9.9998E-01   1.0000E+00   1.0000E+00   9.9998E-01
   1.4000E-01   9.9994E-01   1.0000E+00   1.0000E+00   9.9996E-01
   1.5000E-01   9.9986E-01   1.0000E+00   1.0000E+00   9.9992E-01
   1.6000E-01   9.9972E-01   1.0000E+00   1.0000E+00   9.9987E-01
   1.7000E-01   9.9947E-01   1.0000E+00   1.0000E+00   9.9978E-01
   1.8000E-01   9.9905E-01   1.0000E+00   1.0000E+00   9.9965E-01
   1.9000E-01   9.9839E-01   1.0000E+00   1.0000E+00   9.9946E-01
   2.0000E-01   9.9740E-01   9.9999E-01   1.0000E+00   9.9921E-01
   2.1000E-01   9.9599E-01   9.9999E-01   1.0000E+00   9.9887E-01
   2.2000E-01   9.9403E-01   9.9998E-01   1.0000E+00   9.9843E-01
   2.3000E-01   9.9142E-01   9.9996E-01   1.0000E+00   9.9787E-01
   2.4000E-01   9.8803E-01   9.9993E-01   1.0000E+00   9.9717E-01
   2.5000E-01   9.8374E-01   9.9988E-01   1.0000E+00   9.9631E-01
   2.6000E-01   9.7844E-01   9.9982E-01   1.0000E+00   9.9528E-01
   2.7000E-01   9.7203E-01   9.9972E-01   1.0000E+00   9.9404E-01
   2.8000E-01   9.6376E-01   9.9959E-01   1.0000E+00   9.9258E-01
   2.9000E-01   9.5463E-01   9.9941E-01   1.0000E+00   9.9089E-01
   3.0000E-01   9.4427E-01   9.9916E-01   1.0000E+00   9.8894E-01
   3.1000E-01   9.3254E-01   9.9882E-01   1.0000E+00   9.8672E-01
   3.2000E-01   9.1945E-01   9.9839E-01   1.0000E+00   9.8420E-01
   3.3000E-01   9.0500E-01   9.9785E-01   9.9999E-01   9.8137E-01
   3.4000E-01   8.8922E-01   9.9713E-01   9.9999E-01   9.7823E-01
   3.5000E-01   8.7216E-01   9.9626E-01   9.9998E-01   9.7475E-01
   3.6000E-01   8.5390E-01   9.9518E-01   9.9998E-01   9.7092E-01
   3.7000E-01   8.3450E-01   9.9385E-01   9.9997E-01   9.6674E-01
   3.8000E-01   8.1405E-01   9.9231E-01   9.9995E-01   9.6220E-01
   3.9000E-01   7.9267E-01   9.9051E-01   9.9993E-01   9.5728E-01
   4.0000E-01   7.7045E-01   9.8840E-01   9.9991E-01   9.5199E-01
   4.1000E-01   7.4750E-01   9.8589E-01   9.9987E-01   9.4632E-01
   4.2000E-01   7.2394E-01   9.8307E-01   9.9983E-01   9.4028E-01
   4.3000E-01   6.9988E-01   9.7991E-01   9.9978E-01   9.3385E-01
   4.4000E-01   6.7564E-01   9.7636E-01   9.9970E-01   9.2704E-01
   4.5000E-01   6.4889E-01   9.7220E-01   9.9962E-01   9.1986E-01
   4.6000E-01   6.2397E-01   9.6753E-01   9.9952E-01   9.1231E-01
   4.7000E-01   5.9933E-01   9.6218E-01   9.9939E-01   9.0439E-01
   4.8000E-01   5.7515E-01   9.5653E-01   9.9923E-01   8.9612E-01
   4.9000E-01   5.5118E-01   9.5046E-01   9.9904E-01   8.8749E-01
   5.0000E-01   5.2749E-01   9.4370E-01   9.9881E-01   8.7853E-01
   5.1000E-01   5.0416E-01   9.3651E-01   9.9855E-01   8.6923E-01
   5.2000E-01   4.8125E-01   9.2832E-01   9.9824E-01   8.5962E-01
   5.3000E-01   4.5665E-01   9.1933E-01   9.9788E-01   8.4970E-01
   5.4000E-01   4.3236E-01   9.0994E-01   9.9746E-01   8.3949E-01
   5.5000E-01   4.0752E-01   9.0037E-01   9.9695E-01   8.2899E-01
   5.6000E-01   3.8364E-01   8.9065E-01   9.9634E-01   8.1824E-01
   5.7000E-01   3.6320E-01   8.8017E-01   9.9569E-01   8.0723E-01
   5.8000E-01   3.4275E-01   8.6915E-01   9.9496E-01   7.9599E-01
   5.9000E-01   3.2275E-01   8.5752E-01   9.9408E-01   7.8453E-01
   6.0000E-01   3.0508E-01   8.4419E-01   9.9316E-01   7.7286E-01
   6.1000E-01   2.8812E-01   8.3116E-01   9.9215E-01   7.6102E-01
   6.2000E-01   2.7186E-01   8.1873E-01   9.9103E-01   7.4900E-01
   6.3000E-01   2.5631E-01   8.0461E-01   9.8967E-01   7.3683E-01
   6.4000E-01   2.4145E-01   7.9027E-01   9.8822E-01   7.2452E-01
   6.5000E-01   2.2728E-01   7.7602E-01   9.8658E-01   7.1209E-01
   6.6000E-01   2.1377E-01   7.6122E-01   9.8483E-01   6.9956E-01
   6.7000E-01   2.0092E-01   7.4420E-01   9.8298E-01   6.8694E-01
   6.8000E-01   1.8871E-01   7.2882E-01   9.8097E-01   6.7425E-01
   6.9000E-01   1.7712E-01   7.1413E-01   9.7878E-01   6.6151E-01
   7.0000E-01   1.6611E-01   6.9740E-01   9.7629E-01   6.4873E-01
   7.1000E-01   1.5547E-01   6.8116E-01   9.7348E-01   6.3592E-01
   7.2000E-01   1.4540E-01   6.6498E-01   9.7069E-01   6.2310E-01
   7.3000E-01   1.3592E-01   6.4837E-01   9.6771E-01   6.1028E-01
   7.4000E-01   1.2711E-01   6.3279E-01   9.6438E-01   5.9749E-01
   7.5000E-01   1.1810E-01   6.1651E-01   9.6077E-01   5.8472E-01
   7.6000E-01   1.0863E-01   5.9993E-01   9.5718E-01   5.7200E-01
   7.7000E-01   9.9289E-02   5.8277E-01   9.5337E-01   5.5934E-01
   7.8000E-01   9.0999E-02   5.6449E-01   9.4933E-01   5.4675E-01
   7.9000E-01   8.4284E-02   5.4759E-01   9.4501E-01   5.3423E-01
   8.0000E-01   7.8447E-02   5.3041E-01   9.4024E-01   5.2181E-01
   8.1000E-01   7.2611E-02   5.1484E-01   9.3520E-01   5.0949E-01
   8.2000E-01   6.7042E-02   4.9901E-01   9.2965E-01   4.9728E-01
   8.3000E-01   6.1784E-02   4.8245E-01   9.2379E-01   4.8518E-01
   8.4000E-01   5.6448E-02   4.6701E-01   9.1763E-01   4.7322E-01
   8.5000E-01   5.1982E-02   4.5136E-01   9.1116E-01   4.6139E-01
   8.6000E-01   4.7838E-02   4.3535E-01   9.0434E-01   4.4970E-01
   8.7000E-01   4.4119E-02   4.1930E-01   8.9744E-01   4.3817E-01
   8.8000E-01   4.0745E-02   4.0309E-01   8.9051E-01   4.2679E-01
   8.9000E-01   3.7612E-02   3.8780E-01   8.8331E-01   4.1557E-01
   9.0000E-01   3.4705E-02   3.7421E-01   8.7583E-01   4.0453E-01
   9.1000E-01   3.1482E-02   3.5950E-01   8.6809E-01   3.9365E-01
   9.2000E-01   2.8454E-02   3.4462E-01   8.6005E-01   3.8295E-01
