#S1SEISMIC-1        
--------------------------------------------------------
    Acc.   Failure_P   Cont.(%)        Cumul.  Cumul.(%)
   0.105  6.7966E-05    14.185%    6.7966E-05    14.185%
   0.115  5.8402E-05    12.189%    1.2637E-04    26.373%
   0.125  5.0184E-05    10.473%    1.7655E-04    36.847%
   0.135  4.3121E-05     8.999%    2.1967E-04    45.846%
   0.145  3.7052E-05     7.733%    2.5673E-04    53.579%
   0.155  3.1837E-05     6.644%    2.8856E-04    60.223%
   0.165  2.7355E-05     5.709%    3.1592E-04    65.932%
   0.175  2.3503E-05     4.905%    3.3942E-04    70.837%
   0.185  2.0192E-05     4.214%    3.5961E-04    75.052%
   0.195  1.7347E-05     3.620%    3.7696E-04    78.672%
   0.205  1.0605E-05     2.213%    3.8756E-04    80.885%
   0.215  9.5395E-06     1.991%    3.9710E-04    82.876%
   0.225  8.5798E-06     1.791%    4.0568E-04    84.667%
   0.235  7.7157E-06     1.610%    4.1340E-04    86.277%
   0.245  6.9376E-06     1.448%    4.2034E-04    87.725%
   0.255  6.2369E-06     1.302%    4.2657E-04    89.027%
   0.265  5.6059E-06     1.170%    4.3218E-04    90.197%
   0.275  5.0377E-06     1.051%    4.3722E-04    91.248%
   0.285  4.5260E-06     0.945%    4.4174E-04    92.193%
   0.295  4.0652E-06     0.848%    4.4581E-04    93.041%
   0.305  2.9431E-06     0.614%    4.4875E-04    93.655%
   0.315  2.6990E-06     0.563%    4.5145E-04    94.219%
   0.325  2.4744E-06     0.516%    4.5393E-04    94.735%
   0.335  2.2677E-06     0.473%    4.5619E-04    95.208%
   0.345  2.0775E-06     0.434%    4.5827E-04    95.642%
   0.355  1.9026E-06     0.397%    4.6017E-04    96.039%
   0.365  1.7418E-06     0.364%    4.6192E-04    96.402%
   0.375  1.5940E-06     0.333%    4.6351E-04    96.735%
   0.385  1.4581E-06     0.304%    4.6497E-04    97.039%
   0.395  1.3332E-06     0.278%    4.6630E-04    97.318%
   0.405  1.0465E-06     0.218%    4.6735E-04    97.536%
   0.415  9.6790E-07     0.202%    4.6831E-04    97.738%
   0.425  8.9482E-07     0.187%    4.6921E-04    97.925%
   0.435  8.2690E-07     0.173%    4.7004E-04    98.097%
   0.445  7.6377E-07     0.159%    4.7080E-04    98.257%
   0.455  7.0514E-07     0.147%    4.7151E-04    98.404%
   0.465  6.5071E-07     0.136%    4.7216E-04    98.540%
   0.475  6.0019E-07     0.125%    4.7276E-04    98.665%
   0.485  5.5333E-07     0.115%    4.7331E-04    98.780%
   0.495  5.0988E-07     0.106%    4.7382E-04    98.887%
   0.505  4.1777E-07     0.087%    4.7424E-04    98.974%
   0.515  3.8776E-07     0.081%    4.7463E-04    99.055%
   0.525  3.5973E-07     0.075%    4.7498E-04    99.130%
   0.535  3.3356E-07     0.070%    4.7532E-04    99.200%
   0.545  3.0915E-07     0.065%    4.7563E-04    99.264%
   0.555  2.8639E-07     0.060%    4.7591E-04    99.324%
   0.565  2.6517E-07     0.055%    4.7618E-04    99.379%
   0.575  2.4541E-07     0.051%    4.7642E-04    99.430%
   0.585  2.2701E-07     0.047%    4.7665E-04    99.478%
   0.595  2.0989E-07     0.044%    4.7686E-04    99.522%
   0.605  1.7237E-07     0.036%    4.7703E-04    99.558%
   0.615  1.6039E-07     0.033%    4.7719E-04    99.591%
   0.625  1.4917E-07     0.031%    4.7734E-04    99.622%
   0.635  1.3867E-07     0.029%    4.7748E-04    99.651%
   0.645  1.2885E-07     0.027%    4.7761E-04    99.678%
   0.655  1.1967E-07     0.025%    4.7773E-04    99.703%
   0.665  1.1109E-07     0.023%    4.7784E-04    99.726%
   0.675  1.0309E-07     0.022%    4.7794E-04    99.748%
   0.685  9.5616E-08     0.020%    4.7804E-04    99.768%
   0.695  8.8648E-08     0.019%    4.7813E-04    99.786%
   0.705  8.2151E-08     0.017%    4.7821E-04    99.803%
   0.715  7.6099E-08     0.016%    4.7829E-04    99.819%
   0.725  7.0463E-08     0.015%    4.7836E-04    99.834%
   0.735  6.5217E-08     0.014%    4.7842E-04    99.848%
   0.745  6.0338E-08     0.013%    4.7848E-04    99.860%
   0.755  4.8229E-08     0.010%    4.7853E-04    99.870%
   0.765  4.4936E-08     0.009%    4.7858E-04    99.880%
   0.775  4.1851E-08     0.009%    4.7862E-04    99.888%
   0.785  3.8963E-08     0.008%    4.7866E-04    99.896%
   0.795  3.6261E-08     0.008%    4.7869E-04    99.904%
   0.805  3.3734E-08     0.007%    4.7873E-04    99.911%
   0.815  3.1371E-08     0.007%    4.7876E-04    99.918%
   0.825  2.9163E-08     0.006%    4.7879E-04    99.924%
   0.835  2.7101E-08     0.006%    4.7881E-04    99.929%
   0.845  2.5176E-08     0.005%    4.7884E-04    99.935%
   0.855  2.3380E-08     0.005%    4.7886E-04    99.939%
   0.865  2.1704E-08     0.005%    4.7889E-04    99.944%
   0.875  2.0142E-08     0.004%    4.7891E-04    99.948%
   0.885  1.8687E-08     0.004%    4.7892E-04    99.952%
   0.895  1.7331E-08     0.004%    4.7894E-04    99.956%
